Quarter,GDP,Brent,Gasoline,CPI,Energy_CPI,Brent_pct,Gas_pct,CPI_inf,Energy_inf,GDP_growth
1990-Q3,10090.569,26.411827404479578,1.238,131.53333333333333,101.73333333333333,NA,NA,NA,NA,NA
1990-Q4,9998.704,32.4544604743083,1.3334666666666666,133.76666666666665,111,0.22878511877613805,0.07711362412493261,0.01697921946274694,0.09108781127129739,-0.00910404556967992
1991-Q1,9951.916,20.728287878787878,1.1047500000000001,134.76666666666668,104.96666666666667,-0.3613115862703412,-0.17152034796520332,0.007475703962123381,-0.05435435435435432,-0.004679406451076118
1991-Q2,10029.51,18.844772727272726,1.1100666666666668,135.56666666666666,101.46666666666667,-0.09086689467694198,0.004812551859395109,0.005936186000494503,-0.033343918704350606,0.007796890568610104
1991-Q3,10080.195,19.890529518790387,1.1065166666666668,136.6,101.1,0.05549320263248436,-0.003198006125758157,0.00762232603884927,-0.0036136662286465615,0.005053586865160886
1991-Q4,10115.329,20.57520358868185,1.0877333333333334,137.73333333333332,102.36666666666666,0.03442211376246451,-0.01697519242065948,0.00829673011224985,0.012528849324101587,0.0034854484461859236
1992-Q1,10236.435,17.949348484848485,1.0135333333333334,138.66666666666666,101.3,-0.1276223145261033,-0.0682152488354989,0.006776379477250849,-0.010420058612829686,0.011972522099874316
1992-Q2,10347.429,19.988576479076478,1.1012666666666666,139.73333333333332,102.23333333333333,0.11361013999752467,0.0865618627902387,0.007692307692307665,0.009213557091148461,0.010843032755055937
1992-Q3,10449.673,20.081538992408557,1.1266,140.8,103.6,0.004650782081925042,0.023003813790181127,0.007633587786259666,0.013368112161721513,0.009881101865980568
1992-Q4,10558.648,19.205209235209235,1.1009,142.03333333333333,104.89999999999999,-0.043638575585795536,-0.022812000710101255,0.008759469696969502,0.012548262548262468,0.010428555994048683
1993-Q1,10576.275,18.21251106025934,1.0560666666666667,143.06666666666666,104.73333333333333,-0.05168900597708481,-0.04072425591182971,0.007275287491199212,-0.001588814744200695,0.0016694372234020705
1993-Q2,10637.847,18.278374003189793,1.0918833333333333,144.1,104.36666666666667,0.003616357058756625,0.03391515687140956,0.007222739981360693,-0.0035009548058561046,0.0058217094392873925
